number,user,restaurant_names
1,H8mXfh5XgGCqmMLwVH7k5A,"fY1IkBnRft1KR0O2tqu7pg, 2tGFUtUrE0DhwlX59pbArA, MPzZuWpKpeLBa833zzL9IQ, MqdAYfl1p_c1144i48k6jw, SxT7tgTNxkVuk67XEl7p8g, KsHdXhRdu9UzjZXO7g9BHg, HkZyV6SIVzdFpC5GRYlMkA, N8KDtnIu6x0uQ-JogBNeAg, izEBByeNB835I5makSbdew, x0Pk5Uvy0y63FSzcfmxRpQ"
2,QZqj0zcaOXV63mVVVLAhhQ,"Rwzp59f3Ia-v2V8Ku0zZWQ, n2CnBRKK82cWZ9a2OjS2xQ, vVqxGrqt5ALxQjJGnntpKQ, VEy3-SnvsKgWfGM_b2irbA, EJNkmXMDWurCPjOZe_WXAg, x44o1_Dw4QsQZRtBJgwZaA, 7LFdimtQU3yrgiKyE53klQ, T7ekp7FiffoWDq53hbZDhg, 0W5UWAcjwGuCJOv8rXGMqw, f6SN9YUSpb9AjS4hnFgyxg"
3,J-NdrqdYuaBZnD8zo9pgjg,"Rwzp59f3Ia-v2V8Ku0zZWQ, _HMiq7vSET4uhNScBdOJnw, I1wArJIYbFl2txUL6unC6A, ymAw53bQVppVV7T40fNgRw, J9rMt_V1NX49rU3YUjh_7Q, LFknVw6uTIaL-MY_RqkN7g, BFT_7kFOCq8FjoINnxycLQ, BYwoAKKtdSeylSN7QV8oNw, _7nMWBmfFvk9S3tKG3Ip_g, NbQH02mMYJ4r1RqvG2FDBA"
4,XsIVj_AszmnnsykBrKgdHw,"SKEiwxu1AyACBupxC0IRBA, wxf-tyEbFaatpJL-43JJpQ, NbQH02mMYJ4r1RqvG2FDBA, n2CnBRKK82cWZ9a2OjS2xQ, wZWdaCJDcm_h90q5w_Gaog, Rwzp59f3Ia-v2V8Ku0zZWQ, 5p2AWrPlYJM5hh54HcyA3g, ntZbvL1jbr6Cj_mP6K14Lw, hfP5UJGaCQBEaBx-uabkDA, 7LFdimtQU3yrgiKyE53klQ"
5,ok0fpB6QHkSUpTQpO3UAfA,"qs6gA9Y5sRzpXnm_4QaP0Q, fqhahiKsc6gPs5Sx4mf9Vg, NbQH02mMYJ4r1RqvG2FDBA, _HMiq7vSET4uhNScBdOJnw, Yf4RhB-uTRcZc3l-1icBmw, Rwzp59f3Ia-v2V8Ku0zZWQ, _7nMWBmfFvk9S3tKG3Ip_g, vVqxGrqt5ALxQjJGnntpKQ, 7LFdimtQU3yrgiKyE53klQ, JHi4LCxdbpXthg98sQiicQ"
6,gekp2Z5I4vPGf2NeFnZX2A,"-WRbjOIgvQQ3jlJnvKUBNA, ZhJ59SFPifQiTW0gAddfGw, bjL1PC2e9dvjBVewmoXYwQ, YnnYwfMEeSru_cJ_qKeofw, 7LFdimtQU3yrgiKyE53klQ, UPRFpMsB4I64GRjUqjRmiw, CdAmgWWCabZQoYNNWOKcEw, 4Xm4LZQjoavYm0Yjs1QgsQ, 3hxwHzQ432UL3rQAWJG5TA, 3n_2L-oqqw6noFKsb3qmeg"
7,JXrx-kwCSuf1xCkwuv0Nfw,"ib_206uhcdzV7lNcCpniXA, pKrcWHvmxT2pIAhInIUj3w, f6SN9YUSpb9AjS4hnFgyxg, ko4q1Oj4iWvYSxoamlcEgw, BYwoAKKtdSeylSN7QV8oNw, T7ekp7FiffoWDq53hbZDhg, l5lEOq47ne-jWKl67VKwZA, kA5pZz-koXIlPaDJALDroQ, aInEEp6EpKuUpoRz8_UuFg, vVqxGrqt5ALxQjJGnntpKQ"
8,FQZZsU3J88IGF8n5e3XYZg,"_HMiq7vSET4uhNScBdOJnw, ZhJ59SFPifQiTW0gAddfGw, JHi4LCxdbpXthg98sQiicQ, P-X4kr5pDqXzhPEfa6RsTQ, 7LFdimtQU3yrgiKyE53klQ, ko4q1Oj4iWvYSxoamlcEgw, Rwzp59f3Ia-v2V8Ku0zZWQ, I1wArJIYbFl2txUL6unC6A, Rl318hUrGlkPJhMmNNZizQ, vVqxGrqt5ALxQjJGnntpKQ"
9,UwWtpjalT2xlJyglRRITug,"_HMiq7vSET4uhNScBdOJnw, 7LFdimtQU3yrgiKyE53klQ, BYwoAKKtdSeylSN7QV8oNw, vVqxGrqt5ALxQjJGnntpKQ, Ku333V1F3_9MVKUJ72_ZBw, x44o1_Dw4QsQZRtBJgwZaA, LFknVw6uTIaL-MY_RqkN7g, CdAmgWWCabZQoYNNWOKcEw, qs6gA9Y5sRzpXnm_4QaP0Q, OLP_CJcooPYzXPlNGPPTXQ"
10,uOTNLX7v8MyEikB1yVux3Q,"txwpCDw5Utu9WbM0VtYJqg, 7LFdimtQU3yrgiKyE53klQ, ZSpfF89JnQN6fiS8OhBlZQ, YnnYwfMEeSru_cJ_qKeofw, 9R5laAm5Kv4aBLVtH1gVnA, hSEGyy0-i1_ZXGIRySbgcg, sxQdEEfKRviWRymOoH9UiA, I1wArJIYbFl2txUL6unC6A, MPzZuWpKpeLBa833zzL9IQ, x44o1_Dw4QsQZRtBJgwZaA"
11,sZ3mumX9WjJqp6qrjPPUBQ,"_HMiq7vSET4uhNScBdOJnw, Rwzp59f3Ia-v2V8Ku0zZWQ, T7ekp7FiffoWDq53hbZDhg, _7nMWBmfFvk9S3tKG3Ip_g, 5RFNZZvtfF9uHVSUeYwzbQ, vVqxGrqt5ALxQjJGnntpKQ, Ku333V1F3_9MVKUJ72_ZBw, NbQH02mMYJ4r1RqvG2FDBA, J9rMt_V1NX49rU3YUjh_7Q, 0W5UWAcjwGuCJOv8rXGMqw"
12,g8VcsAZyMrak3vdrLr3b7w,"tz8VEeIOoM5Cu1NSnC2JIQ, _HMiq7vSET4uhNScBdOJnw, J9rMt_V1NX49rU3YUjh_7Q, BYwoAKKtdSeylSN7QV8oNw, x0Pk5Uvy0y63FSzcfmxRpQ, o1_iIC0rU2yuF3SZvf6IjA, avrJOt2Kzk7fUpe4D4_DAQ, x44o1_Dw4QsQZRtBJgwZaA, 2qw1-Q_sVbo9QHWDlmznsw, JHi4LCxdbpXthg98sQiicQ"
13,1tQfj737uhgdKcQ-5akTdA,"OExxlOVjUIDh3TFjPzbSDA, 6LgTc7CZlXCd1Pxq3BiVcw, M-PobdAR2gJhPyLR_WzMCQ, 7LFdimtQU3yrgiKyE53klQ, -WRbjOIgvQQ3jlJnvKUBNA, 2JFWJDNeLZN3dbTXs8kNMQ, 58PYKm0WgNunAzuS4Qu1Zg, qs6gA9Y5sRzpXnm_4QaP0Q, CdAmgWWCabZQoYNNWOKcEw, _HMiq7vSET4uhNScBdOJnw"
14,1UZs_9wFHP4NR_62LwGD6g,"J9rMt_V1NX49rU3YUjh_7Q, BYwoAKKtdSeylSN7QV8oNw, _HMiq7vSET4uhNScBdOJnw, vVqxGrqt5ALxQjJGnntpKQ, MPzZuWpKpeLBa833zzL9IQ, _7nMWBmfFvk9S3tKG3Ip_g, x0Pk5Uvy0y63FSzcfmxRpQ, avrJOt2Kzk7fUpe4D4_DAQ, mnaTW8Wm0ESJXf4qqDtS9A, LFknVw6uTIaL-MY_RqkN7g"
