number,user,restaurant_name
1,H8mXfh5XgGCqmMLwVH7k5A,2tGFUtUrE0DhwlX59pbArA
2,H8mXfh5XgGCqmMLwVH7k5A,fY1IkBnRft1KR0O2tqu7pg
3,H8mXfh5XgGCqmMLwVH7k5A,MPzZuWpKpeLBa833zzL9IQ
4,H8mXfh5XgGCqmMLwVH7k5A,izEBByeNB835I5makSbdew
5,H8mXfh5XgGCqmMLwVH7k5A,fxQKJjAs7sayW3Zg45kE_g
6,H8mXfh5XgGCqmMLwVH7k5A,SxT7tgTNxkVuk67XEl7p8g
7,H8mXfh5XgGCqmMLwVH7k5A,-vVXB-MBTTa8EUmJhDafQQ
8,H8mXfh5XgGCqmMLwVH7k5A,J9rMt_V1NX49rU3YUjh_7Q
9,H8mXfh5XgGCqmMLwVH7k5A,69-vLz9AF84FsJmX3cpU9g
10,H8mXfh5XgGCqmMLwVH7k5A,N8KDtnIu6x0uQ-JogBNeAg
11,QZqj0zcaOXV63mVVVLAhhQ,n2CnBRKK82cWZ9a2OjS2xQ
12,QZqj0zcaOXV63mVVVLAhhQ,vVqxGrqt5ALxQjJGnntpKQ
13,QZqj0zcaOXV63mVVVLAhhQ,VEy3-SnvsKgWfGM_b2irbA
14,QZqj0zcaOXV63mVVVLAhhQ,Rwzp59f3Ia-v2V8Ku0zZWQ
15,QZqj0zcaOXV63mVVVLAhhQ,x44o1_Dw4QsQZRtBJgwZaA
16,QZqj0zcaOXV63mVVVLAhhQ,7LFdimtQU3yrgiKyE53klQ
17,QZqj0zcaOXV63mVVVLAhhQ,0W5UWAcjwGuCJOv8rXGMqw
18,QZqj0zcaOXV63mVVVLAhhQ,lycfBKtcR7keDQQOeMMsoA
19,QZqj0zcaOXV63mVVVLAhhQ,EJNkmXMDWurCPjOZe_WXAg
20,QZqj0zcaOXV63mVVVLAhhQ,f6SN9YUSpb9AjS4hnFgyxg
21,J-NdrqdYuaBZnD8zo9pgjg,_HMiq7vSET4uhNScBdOJnw
