number,user,restaurant_names,positions
1,H8mXfh5XgGCqmMLwVH7k5A,"fY1IkBnRft1KR0O2tqu7pg, MPzZuWpKpeLBa833zzL9IQ, 2tGFUtUrE0DhwlX59pbArA, izEBByeNB835I5makSbdew, fxQKJjAs7sayW3Zg45kE_g, -vVXB-MBTTa8EUmJhDafQQ, KsHdXhRdu9UzjZXO7g9BHg, ahlZC7XOKN-XJ7P4sPZrRg, N8KDtnIu6x0uQ-JogBNeAg, MqdAYfl1p_c1144i48k6jw","914, 488, 801, 368, 517, 251, 721, 937, 81, 207"
2,QZqj0zcaOXV63mVVVLAhhQ,"n2CnBRKK82cWZ9a2OjS2xQ, VEy3-SnvsKgWfGM_b2irbA, Rwzp59f3Ia-v2V8Ku0zZWQ, vVqxGrqt5ALxQjJGnntpKQ, x44o1_Dw4QsQZRtBJgwZaA, f6SN9YUSpb9AjS4hnFgyxg, T7ekp7FiffoWDq53hbZDhg, 7LFdimtQU3yrgiKyE53klQ, txwpCDw5Utu9WbM0VtYJqg, lycfBKtcR7keDQQOeMMsoA","828, 417, 599, 167, 39, 43, 123, 745, 505, 930"
3,J-NdrqdYuaBZnD8zo9pgjg,"_HMiq7vSET4uhNScBdOJnw, Rwzp59f3Ia-v2V8Ku0zZWQ, _7nMWBmfFvk9S3tKG3Ip_g, ymAw53bQVppVV7T40fNgRw, BFT_7kFOCq8FjoINnxycLQ, J9rMt_V1NX49rU3YUjh_7Q, LFknVw6uTIaL-MY_RqkN7g, BYwoAKKtdSeylSN7QV8oNw, I1wArJIYbFl2txUL6unC6A, hinGqQYvot8HtRYxSdr6FA","615, 599, 141, 219, 453, 758, 707, 950, 907, 99"
4,XsIVj_AszmnnsykBrKgdHw,"0jULEVd6kG3hY3V7HBoIPA, ntZbvL1jbr6Cj_mP6K14Lw, hfP5UJGaCQBEaBx-uabkDA, 5p2AWrPlYJM5hh54HcyA3g, 2FLfIQ9u3PJKg2iLhkl91A, BYwoAKKtdSeylSN7QV8oNw, xqniVNVNvAE1E9Qzf8b_Bw, I1wArJIYbFl2txUL6unC6A, vLIr2SJHzrjBwQ62F49a_A, _HMiq7vSET4uhNScBdOJnw","493, 862, 577, 755, 902, 950, 723, 907, 532, 615"
5,ok0fpB6QHkSUpTQpO3UAfA,"Pv0P0vYFIOlMPPfn18Wc7Q, LFknVw6uTIaL-MY_RqkN7g, NbQH02mMYJ4r1RqvG2FDBA, Rwzp59f3Ia-v2V8Ku0zZWQ, cNfJMGK0MDvs13Y020wTgA, _7nMWBmfFvk9S3tKG3Ip_g, _HMiq7vSET4uhNScBdOJnw, vVqxGrqt5ALxQjJGnntpKQ, qs6gA9Y5sRzpXnm_4QaP0Q, fqhahiKsc6gPs5Sx4mf9Vg","349, 707, 872, 599, 600, 141, 615, 167, 127, 918"
6,gekp2Z5I4vPGf2NeFnZX2A,"CdAmgWWCabZQoYNNWOKcEw, 7LFdimtQU3yrgiKyE53klQ, ZhJ59SFPifQiTW0gAddfGw, UPRFpMsB4I64GRjUqjRmiw, bjL1PC2e9dvjBVewmoXYwQ, 3hxwHzQ432UL3rQAWJG5TA, 4Xm4LZQjoavYm0Yjs1QgsQ, txwpCDw5Utu9WbM0VtYJqg, 3n_2L-oqqw6noFKsb3qmeg, YnnYwfMEeSru_cJ_qKeofw","664, 745, 694, 879, 524, 787, 965, 505, 136, 588"
7,JXrx-kwCSuf1xCkwuv0Nfw,"ib_206uhcdzV7lNcCpniXA, BYwoAKKtdSeylSN7QV8oNw, T7ekp7FiffoWDq53hbZDhg, 7LFdimtQU3yrgiKyE53klQ, pKrcWHvmxT2pIAhInIUj3w, kA5pZz-koXIlPaDJALDroQ, pJWufKPuAuRFUyky_LeUMg, EJNkmXMDWurCPjOZe_WXAg, f6SN9YUSpb9AjS4hnFgyxg, aInEEp6EpKuUpoRz8_UuFg","656, 950, 123, 745, 244, 466, 461, 613, 43, 64"
8,FQZZsU3J88IGF8n5e3XYZg,"_HMiq7vSET4uhNScBdOJnw, Pv0P0vYFIOlMPPfn18Wc7Q, ZhJ59SFPifQiTW0gAddfGw, I1wArJIYbFl2txUL6unC6A, Rwzp59f3Ia-v2V8Ku0zZWQ, JHi4LCxdbpXthg98sQiicQ, 7LFdimtQU3yrgiKyE53klQ, ko4q1Oj4iWvYSxoamlcEgw, P-X4kr5pDqXzhPEfa6RsTQ, Rl318hUrGlkPJhMmNNZizQ","615, 349, 694, 907, 599, 23, 745, 698, 241, 82"
9,UwWtpjalT2xlJyglRRITug,"_HMiq7vSET4uhNScBdOJnw, BYwoAKKtdSeylSN7QV8oNw, x44o1_Dw4QsQZRtBJgwZaA, vVqxGrqt5ALxQjJGnntpKQ, Ku333V1F3_9MVKUJ72_ZBw, 7LFdimtQU3yrgiKyE53klQ, NbQH02mMYJ4r1RqvG2FDBA, LFknVw6uTIaL-MY_RqkN7g, 2JFWJDNeLZN3dbTXs8kNMQ, Rl318hUrGlkPJhMmNNZizQ","615, 950, 39, 167, 795, 745, 872, 707, 439, 82"
10,uOTNLX7v8MyEikB1yVux3Q,"txwpCDw5Utu9WbM0VtYJqg, I1wArJIYbFl2txUL6unC6A, MPzZuWpKpeLBa833zzL9IQ, x44o1_Dw4QsQZRtBJgwZaA, hSEGyy0-i1_ZXGIRySbgcg, 7LFdimtQU3yrgiKyE53klQ, 9R5laAm5Kv4aBLVtH1gVnA, ZSpfF89JnQN6fiS8OhBlZQ, YnnYwfMEeSru_cJ_qKeofw, sxQdEEfKRviWRymOoH9UiA","505, 907, 488, 39, 710, 745, 575, 589, 588, 945"
11,sZ3mumX9WjJqp6qrjPPUBQ,"_HMiq7vSET4uhNScBdOJnw, T7ekp7FiffoWDq53hbZDhg, Rwzp59f3Ia-v2V8Ku0zZWQ, OLP_CJcooPYzXPlNGPPTXQ, J9rMt_V1NX49rU3YUjh_7Q, YkVRDcEa7vZK65u-tlL9tQ, 0W5UWAcjwGuCJOv8rXGMqw, O79uzVop5yqobf3bdjZzQg, 5RFNZZvtfF9uHVSUeYwzbQ, NbQH02mMYJ4r1RqvG2FDBA","615, 123, 599, 555, 758, 373, 647, 580, 89, 872"
12,g8VcsAZyMrak3vdrLr3b7w,"tz8VEeIOoM5Cu1NSnC2JIQ, _HMiq7vSET4uhNScBdOJnw, rXhvV-YyZaJLjgOnz7_jkA, I1wArJIYbFl2txUL6unC6A, x0Pk5Uvy0y63FSzcfmxRpQ, o1_iIC0rU2yuF3SZvf6IjA, BYwoAKKtdSeylSN7QV8oNw, g_oK5K039p7OVy43FSg-ug, JHi4LCxdbpXthg98sQiicQ, J9rMt_V1NX49rU3YUjh_7Q","846, 615, 568, 907, 682, 888, 950, 949, 23, 758"
13,1tQfj737uhgdKcQ-5akTdA,"OExxlOVjUIDh3TFjPzbSDA, 6LgTc7CZlXCd1Pxq3BiVcw, EqdAzi9c5xuhxN9brmEaZw, M-PobdAR2gJhPyLR_WzMCQ, 58PYKm0WgNunAzuS4Qu1Zg, -WRbjOIgvQQ3jlJnvKUBNA, U3i7AaegudvpmDL23_wEmQ, vVqxGrqt5ALxQjJGnntpKQ, 2JFWJDNeLZN3dbTXs8kNMQ, i5dxKKLe2kJ8WbPUXilPGg","226, 681, 225, 253, 267, 283, 928, 167, 439, 527"
14,1UZs_9wFHP4NR_62LwGD6g,"_7nMWBmfFvk9S3tKG3Ip_g, vVqxGrqt5ALxQjJGnntpKQ, MPzZuWpKpeLBa833zzL9IQ, x0Pk5Uvy0y63FSzcfmxRpQ, J9rMt_V1NX49rU3YUjh_7Q, _HMiq7vSET4uhNScBdOJnw, BYwoAKKtdSeylSN7QV8oNw, Rwzp59f3Ia-v2V8Ku0zZWQ, EGoCGAhJMivxr_C7H0hoKw, avrJOt2Kzk7fUpe4D4_DAQ","141, 167, 488, 682, 758, 615, 950, 599, 560, 342"
15,TUAiW8Lcdla5Ii53kV6RFw,"J3ijSN86u_Pg42BZjkDM_g, NbQH02mMYJ4r1RqvG2FDBA, 5LMkTnMXOxlce_LwUNhpCQ, VEy3-SnvsKgWfGM_b2irbA, MuaIn9h_YOAmZxHxtQXAAw, ahlZC7XOKN-XJ7P4sPZrRg, vVqxGrqt5ALxQjJGnntpKQ, 6LgTc7CZlXCd1Pxq3BiVcw, 6xx2FpMxjwabEHz_t2MiZg, 5RFNZZvtfF9uHVSUeYwzbQ","343, 872, 829, 417, 953, 937, 167, 681, 814, 89"
16,ZNyfGsIwsedPlpjmoaq3Eg,"x44o1_Dw4QsQZRtBJgwZaA, txwpCDw5Utu9WbM0VtYJqg, 5RFNZZvtfF9uHVSUeYwzbQ, ahlZC7XOKN-XJ7P4sPZrRg, 6LgTc7CZlXCd1Pxq3BiVcw, -WRbjOIgvQQ3jlJnvKUBNA, sxQdEEfKRviWRymOoH9UiA, Rwzp59f3Ia-v2V8Ku0zZWQ, tRPHSd0ow1hsqMRxyMePeg, OLP_CJcooPYzXPlNGPPTXQ","39, 505, 89, 937, 681, 283, 945, 599, 116, 555"
17,Jd4LuJ2nCNBMayehLhhL4w,"hSEGyy0-i1_ZXGIRySbgcg, vVqxGrqt5ALxQjJGnntpKQ, 7LFdimtQU3yrgiKyE53klQ, P7-GGakh0UR80xIl93t07Q, tDGDMePyQvBBn416-1SEMA, NAsglQPCdPMJV_RkHge27A, x44o1_Dw4QsQZRtBJgwZaA, VEy3-SnvsKgWfGM_b2irbA, ahlZC7XOKN-XJ7P4sPZrRg, Rwzp59f3Ia-v2V8Ku0zZWQ","710, 167, 745, 361, 395, 817, 39, 417, 937, 599"
18,I0Ml519BP2Ya3-Ec5GgVgA,"J9rMt_V1NX49rU3YUjh_7Q, vVqxGrqt5ALxQjJGnntpKQ, BfGgttAzEPx9v7b8Sgkedw, MqdAYfl1p_c1144i48k6jw, xpHn6SAJ3xqJGgzZTASrSg, BYwoAKKtdSeylSN7QV8oNw, txwpCDw5Utu9WbM0VtYJqg, tRPHSd0ow1hsqMRxyMePeg, T7ekp7FiffoWDq53hbZDhg, ZhJ59SFPifQiTW0gAddfGw","758, 167, 195, 207, 338, 950, 505, 116, 123, 694"
19,dpKkBNCSrXgwgqqXd5JqOw,"ahlZC7XOKN-XJ7P4sPZrRg, ymAw53bQVppVV7T40fNgRw, 7LFdimtQU3yrgiKyE53klQ, x44o1_Dw4QsQZRtBJgwZaA, vVqxGrqt5ALxQjJGnntpKQ, -WRbjOIgvQQ3jlJnvKUBNA, xD3L3JhNxsAfQikOHWHa4w, om14ZRoz5wTmPzie1V-zmA, bjL1PC2e9dvjBVewmoXYwQ, txwpCDw5Utu9WbM0VtYJqg","937, 219, 745, 39, 167, 283, 351, 546, 524, 505"
20,cfDwnBtcWi0Bm40lQUHCMg,"pnjp8dim5eVWHIX7oYnEbQ, ahlZC7XOKN-XJ7P4sPZrRg, kA5pZz-koXIlPaDJALDroQ, xD3L3JhNxsAfQikOHWHa4w, J9rMt_V1NX49rU3YUjh_7Q, d3vB2tlgTEapMU_kGiXRoQ, XAMUaVFO2y5Vf1Uz_rYA1Q, 7LFdimtQU3yrgiKyE53klQ, 9R5laAm5Kv4aBLVtH1gVnA, J3ijSN86u_Pg42BZjkDM_g","744, 937, 466, 351, 758, 594, 95, 745, 575, 343"
